,name,price,first name,last name,above_100
0,William Dixon,109.0372796,William,Dixon,true
1,Kristen Horn,262.5246522,Kristen,Horn,true
2,Kimberly Chang,187.0072583,Kimberly,Chang,true
3,Mary Ball,283.1746476,Mary,Ball,true
4,Benjamin Craig,143.8715817,Benjamin,Craig,true
5,Cathy Werner,61.50899135,Cathy,Werner,false
6,Brandon Bell,48.6373091,Brandon,Bell,false
7,Paul Farley,12.38946479,Paul,Farley,false
8,Sarah Mcdaniel,151.5954472,Sarah,Mcdaniel,true
9,Caroline Anderson,75.62152103,Caroline,Anderson,false
10,Carl Jones,147.0294047,Carl,Jones,true
11,Scott Lee,244.1856527,Scott,Lee,true
12,Kaylee Coleman,17.86427032,Kaylee,Coleman,false
13,Charles Parker,215.537283,Charles,Parker,true
14,Susan Hess,38.35997063,Susan,Hess,false
15,Kiara Collier,204.1825486,Kiara,Collier,true
16,Mr. Scott Martinez,165.8514289,Mr.,Scott Martinez,true
17,Christopher Ortega,30.30144506,Christopher,Ortega,false
18,Michael Russell,243.1724911,Michael,Russell,true
19,Dwayne Johnson,287.4932856,Dwayne,Johnson,true
20,Patty Smith,180.2344257,Patty,Smith,true
21,Deanna Sherman,99.79911842,Deanna,Sherman,false
22,Douglas Francis,161.7688908,Douglas,Francis,true
23,Vicki Diaz,18.64987672,Vicki,Diaz,false
24,Robin Phillips,244.9119836,Robin,Phillips,true
25,Travis Rice,141.4988254,Travis,Rice,true
26,Ashley Rocha,50.00303731,Ashley,Rocha,false
27,Sarah Jacobson,80.48182457,Sarah,Jacobson,false
28,Kayla Shannon,98.91531394,Kayla,Shannon,false
29,Sean Wang DDS,220.6282177,Sean,Wang DDS,true
30,Richard Estrada,49.16869151,Richard,Estrada,false
31,Joseph Torres,150.1237842,Joseph,Torres,true
32,Kim Jones,18.8434377,Kim,Jones,false
33,Melissa Tanner,269.1840299,Melissa,Tanner,true
34,Jackson Cline,64.31251721,Jackson,Cline,false
35,Sonya Foster,296.2155012,Sonya,Foster,true
36,Allen Williams,15.3908317,Allen,Williams,false
37,Mr. Thomas Rivera,95.22843716,Mr.,Thomas Rivera,false
38,Jamie Silva,296.8244075,Jamie,Silva,true
39,Kathleen Moore,92.50052419,Kathleen,Moore,false
